Alk,SO4,Na,Mg,Ca,Si
35,82.0986864,61.302452,35.35608,61.8512,123.10272
44,81.1987008,63.50254,37.035,57.362,138.07872
52,80.7987072,64.802592,38.71392,54.868,131.48928
50,81.498696,65.702628,40.29408,71.3284,141.47328
61,80.1987168,75.703028,41.18292,61.3524,144.768
56,80.998704,71.302852,39.504,46.8872,146.46528
27,73.498824,49.601984,30.41808,47.386,91.55328
21,74.3988096,37.401496,28.83792,39.4052,94.848
28,76.6987728,37.401496,29.628,40.4028,84.864
41,77.6987568,43.00172,30.41808,39.904,96.54528
35,81.8986896,49.601984,33.77592,41.8992,114.816
44,83.498664,57.00228,36.24492,48.8824,141.47328
37,83.2986672,56.102244,36.24492,48.3836,143.07072
48,83.498664,59.102364,37.035,51.8752,131.48928
48,83.998656,75.703028,40.29408,66.8392,153.05472
50,83.6986608,77.803112,41.18292,67.338,141.47328
50,83.0986704,79.103164,41.973,70.8296,144.768
55,82.49868,80.403216,41.973,69.3332,146.46528
60,81.6986928,80.903236,42.76308,65.8416,149.76
56,81.498696,82.203288,41.973,61.3524,151.45728
138,53.6991408,110.404416,48.58992,67.338,246.30528
115,58.0990704,91.303652,41.18292,55.8656,204.672
81,65.1989568,73.902956,36.24492,54.3692,161.44128
39,78.498744,53.50214,31.30692,53.3716,128.09472
54,79.7987232,53.902156,31.30692,53.8704,116.51328
105,54.99912,102.204088,41.973,65.3428,242.91072
151,49.5992064,115.204608,52.63908,71.3284,257.88672
154,52.0991664,120.904836,53.52792,79.3092,241.31328
158,52.0991664,119.104764,55.10808,81.8032,251.29728
85,70.998864,92.603704,41.973,70.8296,163.03872
75,86.498616,77.803112,39.504,65.8416,138.07872
46,79.99872,61.702468,32.097,55.3668,99.84
42,83.6986608,61.302452,32.88708,55.8656,103.13472
57,78.998736,78.303132,37.035,57.362,143.07072
60,77.6987568,79.103164,38.71392,61.3524,143.07072
54,78.998736,76.50306,37.035,59.856,139.776
56,79.7987232,73.902956,37.035,60.3548,134.784
57,78.998736,76.50306,37.82508,60.8536,139.776
62,76.8987696,80.0032,38.71392,61.3524,148.06272
58,72.6988368,78.703148,37.82508,58.3596,143.07072
28,80.3987136,53.902156,32.097,53.3716,93.15072
69,70.5988704,82.603304,39.504,59.856,163.03872
87,64.5989664,89.103564,40.29408,60.8536,179.712
86,60.999024,96.50386,42.76308,67.8368,191.39328
86.5,58.2990672,87.803512,43.65192,63.3476,158.04672
56,65.7989472,74.802992,36.24492,58.8584,136.48128
47,68.0989104,64.802592,35.35608,58.3596,109.824
89,61.6990128,87.803512,41.973,64.844,163.03872
56,69.99888,68.702748,35.35608,58.8584,124.8
113,56.8990896,98.303932,42.76308,65.8416,187.99872
141,47.0992464,104.804192,46.12092,72.326,229.632
130.7,46.8992496,100.904036,41.18292,65.3428,224.64
115,45.1992768,107.804312,47.70108,74.3212,234.624
152,44.5992864,107.00428,48.58992,73.8224,236.32128
154,44.1992928,108.304332,46.911,70.8296,244.608
145,42.8993136,113.904556,50.17008,78.8104,247.90272
136,43.0993104,113.50454,54.318,83.2996,252.89472
128,43.6993008,105.704228,44.442,73.8224,229.632
120,45.999264,93.903756,44.442,66.3404,196.38528
86,54.1991328,78.303132,41.973,65.8416,163.03872
36,68.998896,58.702348,34.566,60.3548,118.11072
-6,68.498904,63.00252,35.35608,58.3596,129.792
34,71.6988528,60.402416,33.77592,59.3572,124.8
63,68.998896,69.102764,37.035,62.8488,138.07872
44,66.498936,75.703028,38.71392,66.8392,154.752
102,52.2991632,102.204088,46.911,62.35,221.34528
99,59.7990432,85.203408,41.18292,55.8656,149.76
130,52.49916,96.103844,38.71392,60.8536,197.98272
145,43.6993008,104.804192,44.442,51.3764,227.93472
174,38.999376,116.104644,57.57708,72.8248,244.608
170,40.999344,112.204488,51.849,77.8128,329.472
192,35.1994368,117.404696,55.99692,81.3044,254.592
204,30.999504,121.704868,56.787,84.796,266.27328
223,27.6995568,128.305132,60.93492,81.3044,277.85472
164,24.9996,132.205288,62.51508,104.748,296.22528
240,24.1996128,137.00548,64.98408,99.2612,281.24928
236,23.6996208,138.305532,65.87292,95.2708,286.24128
227,22.0996464,143.50574,69.92208,110.2348,291.23328
256,19.99968,143.50574,70.81092,116.2204,287.83872
